reporting_airport,route,pax_current,pax_growth_pct
CARDIFF WALES,BLACKPOOL,91,0
CARDIFF WALES,BOURNEMOUTH,47,14.63415
CARDIFF WALES,BRISTOL,0,-100
CARDIFF WALES,EAST MIDLANDS INTERNATIONAL,65,38.29787
CARDIFF WALES,EDINBURGH,20320,-0.9457
CARDIFF WALES,GLASGOW,175,-43.7299
CARDIFF WALES,HUMBERSIDE,108,-27.51678
CARDIFF WALES,LEEDS BRADFORD,259,354.38596
CARDIFF WALES,LIVERPOOL (JOHN LENNON),0,-100
CARDIFF WALES,MANCHESTER,230,-20.68966
CARDIFF WALES,NEWCASTLE,118,-40.40404
CARDIFF WALES,NORWICH,148,-3.8961
CARDIFF WALES,SOUTHAMPTON,0,-100
CARDIFF WALES,STANSTED,28,3.7037
CARDIFF WALES,TEESSIDE INTERNATIONAL AIRPORT,357,410
CITY OF DERRY (EGLINTON),BIRMINGHAM,323,0
CITY OF DERRY (EGLINTON),EDINBURGH,245,-96.35036
CITY OF DERRY (EGLINTON),GLASGOW,15855,1.71286
CITY OF DERRY (EGLINTON),HEATHROW,46760,0
CITY OF DERRY (EGLINTON),LIVERPOOL (JOHN LENNON),10703,-53.57623
CITY OF DERRY (EGLINTON),MANCHESTER,56967,3.87098
CITY OF DERRY (EGLINTON),STANSTED,19058,-67.48004
DONCASTER SHEFFIELD,BIGGIN HILL,0,-100
DONCASTER SHEFFIELD,BOURNEMOUTH,0,-100
DONCASTER SHEFFIELD,FARNBOROUGH,0,-100
DONCASTER SHEFFIELD,NORWICH,0,-100
DUNDEE,BELFAST CITY (GEORGE BEST),3071,-55.5443
DUNDEE,BIGGIN HILL,3,0
DUNDEE,HEATHROW,18742,0
DUNDEE,KIRKWALL,450,0
DUNDEE,LONDON CITY,8544,-69.71394
DUNDEE,SUMBURGH,1743,28.92012
EAST MIDLANDS INTERNATIONAL,ABERDEEN,202,0
EAST MIDLANDS INTERNATIONAL,BELFAST CITY (GEORGE BEST),37276,108.18766
EAST MIDLANDS INTERNATIONAL,BELFAST INTERNATIONAL,39785,265.63735
EAST MIDLANDS INTERNATIONAL,BIRMINGHAM,671,33.13492
EAST MIDLANDS INTERNATIONAL,BOURNEMOUTH,69,-47.72727
EAST MIDLANDS INTERNATIONAL,BRISTOL,0,-100
EAST MIDLANDS INTERNATIONAL,CARDIFF WALES,65,-8.4507
EAST MIDLANDS INTERNATIONAL,DONCASTER SHEFFIELD,0,-100
EAST MIDLANDS INTERNATIONAL,EDINBURGH,84,0
EAST MIDLANDS INTERNATIONAL,EXETER,0,-100
EAST MIDLANDS INTERNATIONAL,GLASGOW,40,-43.66197
EAST MIDLANDS INTERNATIONAL,GUERNSEY,11218,-11.13752
EAST MIDLANDS INTERNATIONAL,HUMBERSIDE,537,278.16901
EAST MIDLANDS INTERNATIONAL,JERSEY,26303,-1.09051
EAST MIDLANDS INTERNATIONAL,LEEDS BRADFORD,0,-100
EAST MIDLANDS INTERNATIONAL,LIVERPOOL (JOHN LENNON),0,-100
EAST MIDLANDS INTERNATIONAL,MANCHESTER,787,-24.25409
EAST MIDLANDS INTERNATIONAL,NEWCASTLE,98,-89.13525
EAST MIDLANDS INTERNATIONAL,NEWQUAY,2828,0
EAST MIDLANDS INTERNATIONAL,SOUTHAMPTON,34,0
EAST MIDLANDS INTERNATIONAL,STANSTED,530,3017.64706
EDINBURGH,ABERDEEN,203,-16.80328
EDINBURGH,BELFAST CITY (GEORGE BEST),117671,38.76624
EDINBURGH,BELFAST INTERNATIONAL,434261,41.33524
EDINBURGH,BIRMINGHAM,215703,25.10106
EDINBURGH,BOURNEMOUTH,48140,0
EDINBURGH,BRISTOL,422681,42.54914
EDINBURGH,CARDIFF WALES,20357,-0.52287
EDINBURGH,CITY OF DERRY (EGLINTON),245,-96.33672
EDINBURGH,EAST MIDLANDS INTERNATIONAL,102,0
EDINBURGH,EXETER,24003,0.29248
EDINBURGH,GATWICK,459475,12.18446
EDINBURGH,GLASGOW,1195,578.97727
EDINBURGH,GUERNSEY,877,-61.24613
EDINBURGH,HEATHROW,1049428,43.20347
EDINBURGH,HUMBERSIDE,0,-100
EDINBURGH,INVERNESS,495,0
EDINBURGH,ISLE OF MAN,11367,17.28229
EDINBURGH,JERSEY,17932,1106.72948
EDINBURGH,KIRKWALL,38745,12.36949
EDINBURGH,LEEDS BRADFORD,296,0
EDINBURGH,LONDON CITY,342973,12.54832
EDINBURGH,LUTON,313533,27.21353
EDINBURGH,MANCHESTER,670,1.6692
EDINBURGH,NEWCASTLE,498,243.44828
EDINBURGH,NEWQUAY,20867,62.71834
EDINBURGH,NORWICH,0,-100
EDINBURGH,PRESTWICK,162,0
EDINBURGH,SOUTHAMPTON,89058,9.09692
EDINBURGH,STANSTED,600026,125.1699
EDINBURGH,STORNOWAY,18513,11.65862
EDINBURGH,SUMBURGH,37191,-3.20137
EXETER,BELFAST CITY (GEORGE BEST),30857,55.70974
EXETER,BIGGIN HILL,83,0
EXETER,BIRMINGHAM,32,0
EXETER,BRISTOL,2169,168.77323
EXETER,CARDIFF WALES,43,0
EXETER,EAST MIDLANDS INTERNATIONAL,31,287.5
EXETER,EDINBURGH,23998,0.37644
EXETER,GLASGOW,12773,-0.96914
EXETER,GLOUCESTERSHIRE,0,-100
EXETER,GUERNSEY,17012,3.89642
EXETER,HEATHROW,41,0
EXETER,ISLES OF SCILLY (ST.MARYS),8063,-31.79088
EXETER,JERSEY,28204,-4.4159
EXETER,LANDS END (ST JUST),99,106.25
EXETER,MANCHESTER,133,-62.32295
EXETER,NEWCASTLE,13597,-12.12435
EXETER,NEWQUAY,12,0
EXETER,NORWICH,108,-97.7887
EXETER,SOUTHAMPTON,0,-100
EXETER,STANSTED,0,-100
EXETER,TEESSIDE INTERNATIONAL AIRPORT,85,0
GLASGOW,ABERDEEN,201,120.87912
GLASGOW,BARRA,12917,-3.96997
GLASGOW,BELFAST CITY (GEORGE BEST),104227,61.40707
GLASGOW,BELFAST INTERNATIONAL,309943,3.14483
GLASGOW,BENBECULA,26339,7.0343
GLASGOW,BIRMINGHAM,164220,-10.76503
GLASGOW,BRISTOL,296326,2.07578
GLASGOW,CAMPBELTOWN,7146,20.02015
GLASGOW,CARDIFF WALES,215,-30.86817
GLASGOW,CITY OF DERRY (EGLINTON),15875,1.48309
GLASGOW,EAST MIDLANDS INTERNATIONAL,40,0
GLASGOW,EDINBURGH,486,147.95918
GLASGOW,EXETER,12849,-0.09331
GLASGOW,GATWICK,466319,7.43044
GLASGOW,GUERNSEY,0,-100
GLASGOW,HEATHROW,859520,23.72001
GLASGOW,INVERNESS,144,0
GLASGOW,ISLAY,28990,11.59013
GLASGOW,ISLE OF MAN,0,-100
GLASGOW,JERSEY,51034,3.77827
GLASGOW,KIRKWALL,17534,7.85508
GLASGOW,LEEDS BRADFORD,329,0
GLASGOW,LIVERPOOL (JOHN LENNON),0,-100
GLASGOW,LONDON CITY,209062,18.10345
GLASGOW,LUTON,236550,12.60907
GLASGOW,MANCHESTER,28,-77.41935
GLASGOW,NEWCASTLE,373,360.49383
GLASGOW,NEWQUAY,5045,-7.87071
GLASGOW,NORWICH,72,0
GLASGOW,SOUTHAMPTON,87044,16.31922
GLASGOW,STANSTED,228993,6.21788
GLASGOW,STORNOWAY,66894,7.4896
GLASGOW,SUMBURGH,20080,-7.60594
GLASGOW,TIREE,11319,4.84439
GUERNSEY,ABERDEEN,460,0
GUERNSEY,ALDERNEY,32525,-3.22245
GUERNSEY,BELFAST CITY (GEORGE BEST),0,-100
GUERNSEY,BIRMINGHAM,32386,11.03645
GUERNSEY,BRISTOL,26285,9.07544
GUERNSEY,COMPTON ABASS,4,0
GUERNSEY,EAST MIDLANDS INTERNATIONAL,11324,-10.41848
GUERNSEY,EDINBURGH,859,-62.00796
GUERNSEY,EXETER,16110,0.20526
GUERNSEY,GATWICK,307327,9.29903
GUERNSEY,GLASGOW,6,-96.1039
GUERNSEY,ISLE OF MAN,478,71.94245
GUERNSEY,JERSEY,76798,7.17894
GUERNSEY,LEEDS BRADFORD,4104,8.42801
GUERNSEY,LONDON CITY,0,-100
GUERNSEY,MANCHESTER,63827,8.63615
GUERNSEY,SOUTHAMPTON,97466,0.67242
GUERNSEY,STORNOWAY,202,0
HUMBERSIDE,ABERDEEN,11275,9.76441
HUMBERSIDE,BIGGIN HILL,41,-42.25352
HUMBERSIDE,BOURNEMOUTH,0,-100
HUMBERSIDE,BRISTOL,140,324.24242
HUMBERSIDE,CARDIFF WALES,107,-1.83486
HUMBERSIDE,DONCASTER SHEFFIELD,0,-100
HUMBERSIDE,EAST MIDLANDS INTERNATIONAL,344,230.76923
HUMBERSIDE,FARNBOROUGH,100,0
HUMBERSIDE,GUERNSEY,100,0
HUMBERSIDE,JERSEY,1989,-4.42095
HUMBERSIDE,LEEDS BRADFORD,79,0
HUMBERSIDE,NEWCASTLE,37,-91.55251
HUMBERSIDE,NEWQUAY,1332,-39.09465
