origin_airport,destination_airport,pax_current,pax_previous,pax_growth_pct,scheduled_share,charter_share
BIRMINGHAM,GUERNSEY,32079,28921,10.9194,,
BIRMINGHAM,INVERNESS,17715,18681,-5.17103,,
BIRMINGHAM,ISLE OF MAN,20077,22253,-9.77846,,
BIRMINGHAM,JERSEY,32998,40341,-18.20233,,
BIRMINGHAM,LEEDS BRADFORD,0,47,-100,,
BIRMINGHAM,LIVERPOOL (JOHN LENNON),87,0,0,,
BIRMINGHAM,MANCHESTER,268,0,0,,
BIRMINGHAM,NEWCASTLE,448,117,282.90598,,
BIRMINGHAM,PRESTWICK,0,140,-100,,
BIRMINGHAM,SOUTHAMPTON,36,144,-75,,
BLACKPOOL,BOURNEMOUTH,46,209,-77.99043,,
BLACKPOOL,CARDIFF WALES,91,0,0,,
BLACKPOOL,NORWICH,0,88,-100,,
BOURNEMOUTH,CARDIFF WALES,47,108,-56.48148,,
BOURNEMOUTH,DONCASTER SHEFFIELD,0,83,-100,,
BOURNEMOUTH,EAST MIDLANDS INTERNATIONAL,343,142,141.5493,,
BOURNEMOUTH,EDINBURGH,48192,38,126721.0526,,
BOURNEMOUTH,HUMBERSIDE,0,67,-100,,
BOURNEMOUTH,LEEDS BRADFORD,101,92,9.78261,,
BOURNEMOUTH,LIVERPOOL (JOHN LENNON),267,94,184.04255,,
BOURNEMOUTH,MANCHESTER,340,170,100,,
BOURNEMOUTH,NEWCASTLE,0,179,-100,,
BOURNEMOUTH,TEESSIDE INTERNATIONAL AIRPORT,0,70,-100,,
BRISTOL,CARDIFF WALES,538,56,860.71429,,
BRISTOL,EAST MIDLANDS INTERNATIONAL,18,98,-81.63265,,
BRISTOL,EDINBURGH,422825,296617,42.54915,,
BRISTOL,EXETER,822,324,153.7037,,
BRISTOL,GLASGOW,295945,290662,1.81758,,
BRISTOL,GUERNSEY,25750,23761,8.37086,,
BRISTOL,HUMBERSIDE,140,33,324.24242,,
BRISTOL,INVERNESS,83762,68240,22.74619,,
BRISTOL,ISLE OF MAN,27238,30968,-12.04469,,
BRISTOL,JERSEY,35908,36579,-1.83439,,
BRISTOL,LEEDS BRADFORD,10,10,0,,
BRISTOL,LIVERPOOL (JOHN LENNON),0,41,-100,,
BRISTOL,MANCHESTER,246,84,192.85714,,
BRISTOL,NEWCASTLE,143216,125272,14.32403,,
BRISTOL,NEWQUAY,93,0,0,,
BRISTOL,NORWICH,114,35,225.71429,,
BRISTOL,TEESSIDE INTERNATIONAL AIRPORT,72,71,1.40845,,
BRIZE NORTON,MANCHESTER,0,45,-100,,
CAMBRIDGE,MANCHESTER,462,668,-30.83832,,
CAMBRIDGE,TEESSIDE INTERNATIONAL AIRPORT,39,0,0,,
CAMPBELTOWN,GLASGOW,7004,5709,22.68348,,
CAMPBELTOWN,ISLAY,2,50,-96,,
CAMPBELTOWN,TIREE,66,34,94.11765,,
CARDIFF WALES,EAST MIDLANDS INTERNATIONAL,65,47,38.29787,,
CARDIFF WALES,EDINBURGH,20320,20514,-0.9457,,
CARDIFF WALES,EXETER,43,0,0,,
CARDIFF WALES,GLASGOW,175,311,-43.7299,,
CARDIFF WALES,HUMBERSIDE,108,149,-27.51678,,
CARDIFF WALES,LEEDS BRADFORD,259,57,354.38596,,
CARDIFF WALES,LIVERPOOL (JOHN LENNON),0,281,-100,,
CARDIFF WALES,MANCHESTER,230,290,-20.68966,,
CARDIFF WALES,NEWCASTLE,118,198,-40.40404,,
CARDIFF WALES,NEWQUAY,4,0,0,,
CARDIFF WALES,NORWICH,148,154,-3.8961,,
CARDIFF WALES,SOUTHAMPTON,0,38,-100,,
CARDIFF WALES,TEESSIDE INTERNATIONAL AIRPORT,357,70,410,,
CITY OF DERRY (EGLINTON),EDINBURGH,245,6713,-96.35036,,
CITY OF DERRY (EGLINTON),GLASGOW,15855,15588,1.71286,,
CITY OF DERRY (EGLINTON),LIVERPOOL (JOHN LENNON),10703,23055,-53.57623,,
CITY OF DERRY (EGLINTON),MANCHESTER,56967,54844,3.87098,,
COLL,TIREE,194,152,27.63158,,
COLONSAY,ISLAY,111,116,-4.31034,,
COLONSAY,TIREE,17,0,0,,
COMPTON ABASS,GUERNSEY,4,0,0,,
DONCASTER SHEFFIELD,FARNBOROUGH,0,108,-100,,
DONCASTER SHEFFIELD,NORWICH,0,71,-100,,
DUNDEE,KIRKWALL,450,0,0,,
DUNDEE,SOUTHAMPTON,0,27,-100,,
DUNDEE,SUMBURGH,1743,1352,28.92012,,
EAST MIDLANDS INTERNATIONAL,EDINBURGH,84,0,0,,
EAST MIDLANDS INTERNATIONAL,EXETER,0,9,-100,,
EAST MIDLANDS INTERNATIONAL,GLASGOW,40,71,-43.66197,,
EAST MIDLANDS INTERNATIONAL,GUERNSEY,11218,12624,-11.13752,,
EAST MIDLANDS INTERNATIONAL,HUMBERSIDE,537,142,278.16901,,
EAST MIDLANDS INTERNATIONAL,JERSEY,26303,26593,-1.09051,,
EAST MIDLANDS INTERNATIONAL,LEEDS BRADFORD,0,800,-100,,
EAST MIDLANDS INTERNATIONAL,LIVERPOOL (JOHN LENNON),0,170,-100,,
EAST MIDLANDS INTERNATIONAL,MANCHESTER,787,1039,-24.25409,,
EAST MIDLANDS INTERNATIONAL,NEWCASTLE,98,902,-89.13525,,
EAST MIDLANDS INTERNATIONAL,NEWQUAY,2828,0,0,,
EAST MIDLANDS INTERNATIONAL,SOUTHAMPTON,34,0,0,,
EDAY,KIRKWALL,523,302,73.17881,,
EDINBURGH,EXETER,24003,23933,0.29248,,
EDINBURGH,GLASGOW,1195,176,578.97727,,
EDINBURGH,GUERNSEY,877,2263,-61.24613,,
EDINBURGH,HUMBERSIDE,0,13,-100,,
EDINBURGH,INVERNESS,495,0,0,,
EDINBURGH,ISLE OF MAN,11367,9692,17.28229,,
EDINBURGH,JERSEY,17932,1486,1106.72948,,
EDINBURGH,KIRKWALL,38745,34480,12.36949,,
EDINBURGH,LEEDS BRADFORD,296,0,0,,
EDINBURGH,LIVERPOOL (JOHN LENNON),169,0,0,,
EDINBURGH,MANCHESTER,670,659,1.6692,,
EDINBURGH,NEWCASTLE,498,145,243.44828,,
EDINBURGH,NEWQUAY,20867,12824,62.71834,,
EDINBURGH,NORWICH,0,1314,-100,,
EDINBURGH,PRESTWICK,162,0,0,,
EDINBURGH,SOUTHAMPTON,89058,81632,9.09692,,
EDINBURGH,STORNOWAY,18513,16580,11.65862,,
EDINBURGH,SUMBURGH,37191,38421,-3.20137,,
EXETER,GLASGOW,12773,12898,-0.96914,,
EXETER,GLOUCESTERSHIRE,0,20,-100,,
EXETER,GUERNSEY,17012,16374,3.89642,,
EXETER,ISLES OF SCILLY (ST.MARYS),8063,11821,-31.79088,,
EXETER,JERSEY,28204,29507,-4.4159,,
EXETER,LANDS END (ST JUST),99,48,106.25,,
EXETER,MANCHESTER,133,353,-62.32295,,
EXETER,NEWCASTLE,13597,15473,-12.12435,,
EXETER,NEWQUAY,12,0,0,,
EXETER,NORWICH,108,4884,-97.7887,,
EXETER,SOUTHAMPTON,0,42,-100,,
EXETER,TEESSIDE INTERNATIONAL AIRPORT,85,0,0,,
FAIR ISLE,LERWICK (TINGWALL),1910,1891,1.00476,,
FAIR ISLE,SUMBURGH,0,30,-100,,
FARNBOROUGH,HUMBERSIDE,100,0,0,,
FARNBOROUGH,INVERNESS,0,85,-100,,
FARNBOROUGH,ISLE OF MAN,0,5,-100,,
FARNBOROUGH,JERSEY,0,50,-100,,
FARNBOROUGH,LIVERPOOL (JOHN LENNON),318,191,66.49215,,
FARNBOROUGH,TEESSIDE INTERNATIONAL AIRPORT,40,72,-44.44444,,
FARNBOROUGH,WICK JOHN O GROATS,34,0,0,,
FOULA,LERWICK (TINGWALL),1003,991,1.2109,,
FOULA,SUMBURGH,0,22,-100,,
GLASGOW,GUERNSEY,0,154,-100,,
GLASGOW,INVERNESS,144,0,0,,
GLASGOW,ISLAY,28990,25979,11.59013,,
GLASGOW,ISLE OF MAN,0,27,-100,,
GLASGOW,JERSEY,51034,49176,3.77827,,
GLASGOW,KIRKWALL,17534,16257,7.85508,,
GLASGOW,LEEDS BRADFORD,329,0,0,,
GLASGOW,LIVERPOOL (JOHN LENNON),0,114,-100,,
GLASGOW,MANCHESTER,28,124,-77.41935,,
GLASGOW,NEWCASTLE,373,81,360.49383,,
GLASGOW,NEWQUAY,5045,5476,-7.87071,,
GLASGOW,NORWICH,72,0,0,,
GLASGOW,SOUTHAMPTON,87044,74832,16.31922,,
GLASGOW,STORNOWAY,66894,62233,7.4896,,
GLASGOW,SUMBURGH,20080,21733,-7.60594,,
GLASGOW,TIREE,11319,10796,4.84439,,
GUERNSEY,HUMBERSIDE,100,0,0,,
GUERNSEY,ISLE OF MAN,478,278,71.94245,,
GUERNSEY,JERSEY,76798,71654,7.17894,,
GUERNSEY,LEEDS BRADFORD,4104,3785,8.42801,,
GUERNSEY,MANCHESTER,63827,58753,8.63615,,
GUERNSEY,SOUTHAMPTON,97466,96815,0.67242,,
GUERNSEY,STORNOWAY,202,0,0,,
HUMBERSIDE,JERSEY,1989,2081,-4.42095,,
HUMBERSIDE,LEEDS BRADFORD,79,0,0,,
HUMBERSIDE,NEWCASTLE,37,438,-91.55251,,
HUMBERSIDE,NEWQUAY,1332,2187,-39.09465,,
HUMBERSIDE,NORWICH,138,44,213.63636,,
HUMBERSIDE,SOUTHAMPTON,100,0,0,,
HUMBERSIDE,TEESSIDE INTERNATIONAL AIRPORT,10,76,-86.84211,,
HUMBERSIDE,WARTON,20,0,0,,
INVERNESS,KIRKWALL,1299,1852,-29.85961,,
INVERNESS,MANCHESTER,27048,35445,-23.69022,,
INVERNESS,NEWQUAY,0,177,-100,,
INVERNESS,NORWICH,0,2,-100,,
INVERNESS,STORNOWAY,12180,13234,-7.96433,,
INVERNESS,SUMBURGH,12538,12819,-2.19206,,
INVERNESS,TIREE,4,0,0,,
ISLAY,OBAN (NORTH CONNEL),54,44,22.72727,,
ISLAY,TIREE,0,16,-100,,
ISLE OF MAN,JERSEY,500,0,0,,
ISLE OF MAN,LIVERPOOL (JOHN LENNON),171818,154364,11.30704,,
ISLE OF MAN,MANCHESTER,119845,96143,24.65286,,
ISLE OF MAN,NEWCASTLE,0,178,-100,,
ISLE OF MAN,NEWQUAY,1716,0,0,,
ISLE OF MAN,TEESSIDE INTERNATIONAL AIRPORT,184,0,0,,
ISLES OF SCILLY (ST.MARYS),NEWQUAY,1530,2104,-27.28137,,
JERSEY,LEEDS BRADFORD,13248,14123,-6.19557,,
JERSEY,LIVERPOOL (JOHN LENNON),118671,101802,16.5704,,
JERSEY,MANCHESTER,87909,80917,8.64095,,
JERSEY,NEWCASTLE,5501,6112,-9.99673,,
JERSEY,NORWICH,3939,4286,-8.09613,,
JERSEY,SOUTHAMPTON,99895,99706,0.18956,,
JERSEY,TEESSIDE INTERNATIONAL AIRPORT,2350,2375,-1.05263,,
KIRKWALL,NORTH RONALDSAY,5903,5531,6.72573,,
KIRKWALL,PAPA WESTRAY,4691,4595,2.08923,,
KIRKWALL,PRESTWICK,7,0,0,,
KIRKWALL,SANDAY,3211,3002,6.96203,,
KIRKWALL,STRONSAY,3033,2995,1.26878,,
KIRKWALL,SUMBURGH,6171,7727,-20.13718,,
KIRKWALL,WESTRAY,3368,3216,4.72637,,
LANDS END (ST JUST),NEWQUAY,52,8,550,,
LEEDS BRADFORD,LIVERPOOL (JOHN LENNON),34,175,-80.57143,,
LEEDS BRADFORD,NEWCASTLE,0,187,-100,,
LEEDS BRADFORD,NEWQUAY,0,150,-100,,
LEEDS BRADFORD,NORWICH,68,0,0,,
LEEDS BRADFORD,SOUTHAMPTON,0,704,-100,,
LERWICK (TINGWALL),SUMBURGH,0,4,-100,,
LIVERPOOL (JOHN LENNON),MANCHESTER,552,177,211.86441,,
LIVERPOOL (JOHN LENNON),NEWCASTLE,379,539,-29.6846,,
LIVERPOOL (JOHN LENNON),NORWICH,246,195,26.15385,,
LIVERPOOL (JOHN LENNON),PRESTWICK,54,123,-56.09756,,
LIVERPOOL (JOHN LENNON),SOUTHAMPTON,250,198,26.26263,,
MANCHESTER,NEWCASTLE,178,235,-24.25532,,
MANCHESTER,NEWQUAY,75091,60391,24.34138,,
MANCHESTER,NORWICH,0,179,-100,,
MANCHESTER,SOUTHAMPTON,5515,10871,-49.2687,,
MANCHESTER,STORNOWAY,4851,0,0,,
MANCHESTER,SUMBURGH,11361,8457,34.33842,,
NEWCASTLE,NEWQUAY,3968,5884,-32.56288,,
NEWCASTLE,NORWICH,0,70,-100,,
NEWCASTLE,SOUTHAMPTON,46908,39122,19.90185,,
NEWQUAY,PRESTWICK,29,0,0,,
NEWQUAY,SOUTHAMPTON,51,21,142.85714,,
NEWQUAY,SUMBURGH,2,359,-99.4429,,
NEWQUAY,TEESSIDE INTERNATIONAL AIRPORT,0,1269,-100,,
NORWICH,SOUTHAMPTON,0,75,-100,,
NORWICH,TEESSIDE INTERNATIONAL AIRPORT,73,108,-32.40741,,
OBAN (NORTH CONNEL),TIREE,251,252,-0.39683,,
SKEGNESS,SUMBURGH,0,34,-100,,
SOUTHAMPTON,STORNOWAY,5201,0,0,,
SOUTHAMPTON,TEESSIDE INTERNATIONAL AIRPORT,105,153,-31.37255,,
